Country,Date,ConfirmedCases,ConfirmedDeath,School Closing,Workplace closing,Cancel public events,Close public transport,Public information campaigns,Restrictions on internal movement,International travel controls,Fiscal measures,Monetary measures,Emergency investment in health care,Investment in Vaccines,Testing framework,Contact tracing
Egypt,01-03-20,1,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,02-03-20,2,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,03-03-20,2,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,04-03-20,2,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,05-03-20,3,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,06-03-20,3,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,07-03-20,15,0,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,08-03-20,15,,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,09-03-20,49,1,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,10-03-20,55,1,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,11-03-20,59,1,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,12-03-20,60,1,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,13-03-20,80,2,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,14-03-20,93,2,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,15-03-20,93,2,0,0,0,0,0,0,0,0,12.25,0,0,0,2
Egypt,16-03-20,110,2,0,2,0,0,0,0,0,0,12.25,0,0,1,2
Egypt,17-03-20,126,2,0,2,0,0,0,0,0,0,12.25,0,0,1,2
Egypt,18-03-20,166,4,0,2,0,0,0,0,0,0,12.25,0,0,1,2
Egypt,19-03-20,196,6,2,2,0,2,0,2,3,0,12.25,0,0,1,2
Egypt,20-03-20,210,6,2,2,0,2,0,2,3,0,12.25,0,0,1,2
Egypt,21-03-20,256,7,2,2,2,2,0,2,3,1269384280,9.25,63690000,0,1,2
Egypt,22-03-20,285,8,2,2,2,2,0,2,3,0,9.25,0,0,1,2
Egypt,23-03-20,294,10,2,2,2,2,0,2,3,0,9.25,0,0,1,2
Egypt,24-03-20,327,14,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,25-03-20,366,19,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,26-03-20,442,21,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,27-03-20,456,21,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,28-03-20,495,24,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,29-03-20,536,30,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,30-03-20,576,36,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,31-03-20,609,40,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,01-04-20,656,41,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,02-04-20,710,46,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,03-04-20,779,52,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,04-04-20,779,52,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,05-04-20,985,66,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,06-04-20,1070,71,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,07-04-20,1073,78,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,08-04-20,1322,85,2,2,2,2,1,2,3,0,9.25,0,0,1,2
Egypt,09-04-20,1560,103,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,1,2
Egypt,10-04-20,1699,118,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,1,2
Egypt,11-04-20,1794,135,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,1,2
Egypt,12-04-20,1939,146,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,1,2
Egypt,13-04-20,2065,159,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,1,2
Egypt,14-04-20,2190,164,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,,2
Egypt,15-04-20,2350,178,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,,2
Egypt,16-04-20,2505,183,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,,2
Egypt,17-04-20,2673,196,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,,2
Egypt,18-04-20,2844,205,2,2,2,2,1,2,3,1267737220,9.25,240870071,0,,2
Kuwait,01-03-20,45,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,02-03-20,46,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,03-03-20,56,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,04-03-20,56,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,05-03-20,58,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,06-03-20,58,0,2,0,0,0,1,0,2,,0,0,0,0,0
Kuwait,07-03-20,61,0,2,0,1,0,1,0,2,,0,0,0,0,2
Kuwait,08-03-20,61,0,2,0,1,0,1,0,2,,0,0,0,0,2
Kuwait,09-03-20,64,0,2,0,1,0,1,0,2,,0,0,0,0,2
Kuwait,10-03-20,65,0,2,0,1,0,1,0,2,,0,0,0,0,2
Kuwait,11-03-20,69,0,2,2,2,0,1,0,3,,0,0,0,2,2
Kuwait,12-03-20,72,0,2,2,2,2,1,0,3,,0,0,0,2,2
Kuwait,13-03-20,80,0,2,2,2,2,1,0,3,,0,0,0,2,2
Kuwait,14-03-20,100,0,2,2,2,2,1,0,3,,0,0,0,2,2
Kuwait,15-03-20,104,0,2,2,2,2,1,0,3,,0,0,0,2,2
Kuwait,16-03-20,112,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,17-03-20,123,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,18-03-20,130,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,19-03-20,142,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,20-03-20,148,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,21-03-20,159,0,2,2,2,2,1,0,3,,1,1600000000,0,2,2
Kuwait,22-03-20,176,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,23-03-20,188,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,24-03-20,189,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,25-03-20,191,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,26-03-20,195,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,27-03-20,208,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,28-03-20,225,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,29-03-20,235,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,30-03-20,255,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,31-03-20,266,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,01-04-20,289,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,02-04-20,317,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,03-04-20,342,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,04-04-20,342,0,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,05-04-20,479,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,06-04-20,556,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,07-04-20,665,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,08-04-20,743,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,09-04-20,855,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,10-04-20,910,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,11-04-20,993,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,12-04-20,1154,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,13-04-20,1234,1,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,14-04-20,1300,2,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,15-04-20,1355,3,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,16-04-20,1405,3,2,2,2,2,1,2,3,,1,1600000000,0,2,2
Kuwait,17-04-20,1524,3,,,,,,,,,,,,,
Kuwait,18-04-20,1658,5,,,,,,,,,,,,,
Lebanon,01-03-20,4,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,02-03-20,10,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,03-03-20,13,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,04-03-20,13,,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,05-03-20,16,,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,06-03-20,16,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,07-03-20,22,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,08-03-20,32,,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,09-03-20,32,0,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,10-03-20,41,0,2,0,1,0,1,0,2,0,0,39000000,0,1,1
Lebanon,11-03-20,41,1,2,0,1,0,1,0,2,0,0,0,0,1,1
Lebanon,12-03-20,61,2,2,1,1,0,1,0,3,0,0,0,0,1,1
Lebanon,13-03-20,66,2,2,1,1,0,1,0,3,0,0,0,0,1,1
Lebanon,14-03-20,93,,2,1,1,0,1,0,3,0,0,0,0,1,1
Lebanon,15-03-20,93,3,2,1,1,0,1,0,3,0,0,0,0,1,1
Lebanon,16-03-20,99,3,2,1,1,2,1,2,3,0,0,0,0,1,1
Lebanon,17-03-20,120,3,2,1,1,2,1,2,3,0,0,0,0,1,1
Lebanon,18-03-20,120,3,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,19-03-20,133,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,20-03-20,149,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,21-03-20,163,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,22-03-20,230,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,23-03-20,248,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,24-03-20,267,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,25-03-20,304,4,2,2,2,2,1,2,3,0,0,6000000,0,1,1
Lebanon,26-03-20,333,4,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,27-03-20,368,6,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,28-03-20,391,7,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,29-03-20,412,8,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,30-03-20,438,10,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,31-03-20,446,11,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,01-04-20,463,12,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,02-04-20,479,12,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,03-04-20,494,16,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,04-04-20,494,16,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,05-04-20,520,17,2,2,2,2,1,2,2,0,0,0,0,1,1
Lebanon,06-04-20,527,18,2,2,2,2,1,2,2,0,0,0,0,1,1
Lebanon,07-04-20,541,19,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,08-04-20,548,19,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,09-04-20,575,19,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,10-04-20,582,19,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,11-04-20,609,20,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,12-04-20,619,20,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,13-04-20,630,20,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,14-04-20,632,20,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,15-04-20,641,21,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,16-04-20,658,21,2,2,2,2,1,2,3,0,0,0,0,1,1
Lebanon,17-04-20,663,21,,,,,,,,,,,,,
Lebanon,18-04-20,668,21,,,,,,,,,,,,,
Saudi Arabia,01-03-20,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Saudi Arabia,02-03-20,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Saudi Arabia,03-03-20,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Saudi Arabia,04-03-20,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Saudi Arabia,05-03-20,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
Saudi Arabia,06-03-20,5,0,0,0,0,2,1,0,0,0,0,0,0,2,0
Saudi Arabia,07-03-20,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
Saudi Arabia,08-03-20,7,0,0,0,0,2,1,2,0,0,0,0,0,2,0
Saudi Arabia,09-03-20,11,0,2,0,0,2,1,2,0,0,0,0,0,2,1
Saudi Arabia,10-03-20,15,0,2,0,0,2,1,2,0,0,0,0,0,2,1
Saudi Arabia,11-03-20,20,0,2,0,0,2,1,2,0,0,0,0,10000000,2,1
Saudi Arabia,12-03-20,45,0,2,0,0,2,1,2,0,0,0,0,0,2,1
Saudi Arabia,13-03-20,62,0,2,0,0,2,1,2,0,0,0,0,0,2,1
Saudi Arabia,14-03-20,86,0,2,0,2,2,1,2,3,0,0,0,0,2,1
Saudi Arabia,15-03-20,86,0,2,2,2,2,1,2,3,13500000000,0,0,0,2,1
Saudi Arabia,16-03-20,118,0,2,2,2,2,1,2,3,0,0,0,0,2,1
Saudi Arabia,17-03-20,133,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,18-03-20,133,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,19-03-20,171,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,20-03-20,238,0,2,2,2,2,1,2,3,18500000000,0.75,0,0,2,1
Saudi Arabia,21-03-20,274,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,22-03-20,392,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,23-03-20,511,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,24-03-20,562,0,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,25-03-20,767,1,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,26-03-20,900,2,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,27-03-20,1012,3,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,28-03-20,1104,3,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,29-03-20,1203,4,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,30-03-20,1229,8,2,2,2,2,1,2,3,0,0.75,0,0,2,1
Saudi Arabia,31-03-20,1453,8,2,2,2,2,1,2,3,0,0.75,0,0,2,1
