location,date,ML,Low_90,High_90,Low_50,High_50
Egypt,2020-03-09,3.0,1.01,6.99,2.04,4.45
Egypt,2020-03-10,2.5100000000000002,1.01,4.63,1.84,3.36
Egypt,2020-03-11,2.15,0.88,3.83,1.6600000000000001,2.9
Egypt,2020-03-12,1.96,0.78,3.42,1.48,2.58
Egypt,2020-03-13,1.82,0.68,3.14,1.35,2.37
Egypt,2020-03-14,1.8,0.7000000000000001,3.0700000000000003,1.36,2.34
Egypt,2020-03-15,1.9100000000000001,0.8200000000000001,3.13,1.53,2.49
Egypt,2020-03-16,1.9100000000000001,0.85,3.06,1.5,2.41
Egypt,2020-03-17,2.0100000000000002,1.0,3.12,1.62,2.49
Egypt,2020-03-18,2.0,1.04,3.0500000000000003,1.6600000000000001,2.49
Egypt,2020-03-19,1.87,0.9400000000000001,2.85,1.55,2.34
Egypt,2020-03-20,1.81,0.93,2.77,1.51,2.27
Egypt,2020-03-21,1.71,0.86,2.64,1.4000000000000001,2.13
Egypt,2020-03-22,1.75,0.9,2.62,1.46,2.17
Egypt,2020-03-23,1.62,0.78,2.45,1.33,2.02
Egypt,2020-03-24,1.58,0.79,2.43,1.27,1.94
Egypt,2020-03-25,1.55,0.74,2.34,1.27,1.93
Egypt,2020-03-26,1.49,0.73,2.31,1.22,1.87
Egypt,2020-03-27,1.43,0.66,2.21,1.17,1.81
Egypt,2020-03-28,1.42,0.66,2.19,1.1500000000000001,1.78
Egypt,2020-03-29,1.37,0.61,2.12,1.09,1.71
Egypt,2020-03-30,1.37,0.64,2.14,1.12,1.74
Egypt,2020-03-31,1.21,0.47000000000000003,1.95,0.9400000000000001,1.55
Egypt,2020-04-01,1.52,0.8,2.27,1.22,1.82
Egypt,2020-04-02,1.62,0.92,2.34,1.3900000000000001,1.98
Egypt,2020-04-03,1.56,0.89,2.27,1.33,1.9000000000000001
Egypt,2020-04-04,1.81,1.17,2.5,1.59,2.14
Egypt,2020-04-05,2.02,1.41,2.67,1.81,2.33
Egypt,2020-04-06,2.0300000000000002,1.46,2.65,1.83,2.32
Egypt,2020-04-07,1.93,1.3800000000000001,2.5100000000000002,1.75,2.22
Egypt,2020-04-08,1.82,1.3,2.39,1.6400000000000001,2.09
Egypt,2020-04-09,1.7,1.18,2.23,1.54,1.98
Egypt,2020-04-10,1.43,0.9400000000000001,1.98,1.26,1.69
Egypt,2020-04-11,1.33,0.8300000000000001,1.86,1.17,1.6
Egypt,2020-04-12,1.29,0.8,1.83,1.09,1.51
Egypt,2020-04-13,1.12,0.63,1.6600000000000001,0.92,1.34
Egypt,2020-04-14,1.06,0.55,1.58,0.89,1.32
Egypt,2020-04-15,1.11,0.62,1.6600000000000001,0.9400000000000001,1.37
Egypt,2020-04-16,1.16,0.66,1.69,1.0,1.43
Egypt,2020-04-17,1.1500000000000001,0.65,1.67,0.97,1.3900000000000001
Egypt,2020-04-18,1.17,0.6900000000000001,1.71,1.0,1.42
Kuwait,2020-03-27,3.0,1.01,6.99,2.04,4.45
Kuwait,2020-03-28,2.71,1.12,4.88,2.08,3.67
Kuwait,2020-03-29,2.5300000000000002,1.1500000000000001,4.25,1.97,3.27
Kuwait,2020-03-30,2.49,1.22,3.96,1.97,3.11
Kuwait,2020-03-31,2.16,1.0,3.41,1.7,2.7
Kuwait,2020-04-01,2.5,1.41,3.69,2.08,3.02
Kuwait,2020-04-02,2.62,1.61,3.67,2.25,3.1
Kuwait,2020-04-03,2.73,1.83,3.68,2.39,3.15
Kuwait,2020-04-04,2.64,1.83,3.49,2.31,2.99
Kuwait,2020-04-05,2.6,1.87,3.38,2.33,2.95
Kuwait,2020-04-06,2.37,1.69,3.08,2.1,2.67
Kuwait,2020-04-07,2.16,1.53,2.84,1.93,2.47
Kuwait,2020-04-08,2.04,1.44,2.69,1.84,2.36
Kuwait,2020-04-09,1.86,1.29,2.5,1.6600000000000001,2.16
Kuwait,2020-04-10,1.58,1.01,2.19,1.3900000000000001,1.8800000000000001
Kuwait,2020-04-11,1.4000000000000001,0.8200000000000001,1.99,1.17,1.6500000000000001
Kuwait,2020-04-12,1.23,0.67,1.85,1.05,1.54
Kuwait,2020-04-13,1.16,0.5700000000000001,1.75,0.96,1.45
Kuwait,2020-04-14,1.12,0.54,1.73,0.91,1.4000000000000001
Kuwait,2020-04-15,1.1300000000000001,0.53,1.72,0.91,1.4000000000000001
Kuwait,2020-04-16,1.12,0.52,1.71,0.9,1.3900000000000001
Kuwait,2020-04-17,1.05,0.46,1.6500000000000001,0.8300000000000001,1.32
Kuwait,2020-04-18,1.1300000000000001,0.53,1.72,0.91,1.4000000000000001
Lebanon,2020-03-11,3.0,1.01,6.99,2.04,4.45
Lebanon,2020-03-12,2.5100000000000002,1.01,4.63,1.84,3.36
Lebanon,2020-03-13,2.2800000000000002,0.97,3.99,1.78,3.0500000000000003
Lebanon,2020-03-15,2.04,0.86,3.52,1.58,2.69
Lebanon,2020-03-16,1.96,0.8300000000000001,3.31,1.52,2.5500000000000003
Lebanon,2020-03-17,1.82,0.73,3.06,1.43,2.4
Lebanon,2020-03-18,1.92,0.8300000000000001,3.09,1.54,2.48
Lebanon,2020-03-19,1.9100000000000001,0.85,3.0100000000000002,1.5,2.39
Lebanon,2020-03-20,1.8800000000000001,0.88,2.95,1.49,2.34
Lebanon,2020-03-21,1.9000000000000001,0.9,2.88,1.56,2.38
Lebanon,2020-03-22,1.8900000000000001,0.97,2.87,1.54,2.32
Lebanon,2020-03-23,1.87,0.98,2.8000000000000003,1.55,2.3000000000000003
Lebanon,2020-03-24,1.75,0.89,2.64,1.44,2.16
Lebanon,2020-03-25,1.62,0.77,2.47,1.32,2.02
Lebanon,2020-03-26,1.52,0.7000000000000001,2.37,1.24,1.93
Lebanon,2020-03-27,1.29,0.48,2.13,0.99,1.67
Lebanon,2020-03-28,1.22,0.41000000000000003,2.06,0.89,1.57
Lebanon,2020-03-29,1.11,0.29,1.92,0.8300000000000001,1.52
Lebanon,2020-03-30,1.02,0.22,1.83,0.71,1.4000000000000001
Lebanon,2020-03-31,0.89,0.12,1.67,0.58,1.27
Lebanon,2020-04-01,0.8,0.08,1.59,0.51,1.2
Lebanon,2020-04-02,0.75,0.03,1.52,0.45,1.1400000000000001
Lebanon,2020-04-03,0.6900000000000001,0.03,1.51,0.42,1.11
Lebanon,2020-04-04,0.63,0.03,1.5,0.35000000000000003,1.03
Lebanon,2020-04-05,0.65,0.0,1.49,0.35000000000000003,1.04
Lebanon,2020-04-06,0.66,0.03,1.55,0.35000000000000003,1.05
Lebanon,2020-04-07,0.74,0.02,1.6,0.44,1.17
Lebanon,2020-04-08,0.76,0.05,1.6500000000000001,0.47000000000000003,1.21
Lebanon,2020-04-09,0.8300000000000001,0.06,1.71,0.52,1.28
Lebanon,2020-04-10,0.78,0.04,1.6500000000000001,0.42,1.16
Lebanon,2020-04-11,0.79,0.04,1.6600000000000001,0.48,1.23
Lebanon,2020-04-12,0.72,0.04,1.6300000000000001,0.36,1.09
Lebanon,2020-04-13,0.66,0.0,1.55,0.36,1.08
Lebanon,2020-04-14,0.51,0.0,1.48,0.26,0.9400000000000001
Lebanon,2020-04-15,0.53,0.01,1.52,0.27,0.96
Lebanon,2020-04-16,0.43,0.01,1.45,0.21,0.86
Lebanon,2020-04-17,0.44,0.01,1.48,0.18,0.84
Lebanon,2020-04-18,0.46,0.01,1.51,0.26,0.9400000000000001
Saudi Arabia,2020-03-11,3.0,1.01,6.99,2.04,4.45
Saudi Arabia,2020-03-12,2.94,1.27,5.17,2.27,3.92
Saudi Arabia,2020-03-13,2.63,1.19,4.29,2.05,3.35
Saudi Arabia,2020-03-14,2.23,1.01,3.64,1.78,2.88
Saudi Arabia,2020-03-15,2.16,1.03,3.45,1.76,2.77
Saudi Arabia,2020-03-16,2.23,1.12,3.38,1.84,2.7800000000000002
Saudi Arabia,2020-03-17,2.11,1.1,3.2,1.75,2.62
Saudi Arabia,2020-03-18,2.37,1.41,3.38,2.0,2.81
Saudi Arabia,2020-03-19,2.5500000000000003,1.68,3.49,2.2,2.94
Saudi Arabia,2020-03-20,2.52,1.71,3.35,2.25,2.93
Saudi Arabia,2020-03-21,2.64,1.92,3.42,2.4,3.02
Saudi Arabia,2020-03-22,2.58,1.93,3.3000000000000003,2.33,2.89
Saudi Arabia,2020-03-23,2.42,1.8,3.06,2.2,2.72
Saudi Arabia,2020-03-24,2.17,1.6,2.79,1.96,2.45
Saudi Arabia,2020-03-25,1.92,1.36,2.5,1.72,2.19
Saudi Arabia,2020-03-26,1.6400000000000001,1.11,2.23,1.45,1.9100000000000001
Saudi Arabia,2020-03-27,1.52,0.99,2.1,1.34,1.8
Saudi Arabia,2020-03-28,1.35,0.81,1.9100000000000001,1.1300000000000001,1.58
Saudi Arabia,2020-03-29,1.33,0.81,1.9100000000000001,1.1300000000000001,1.58
Saudi Arabia,2020-03-30,1.24,0.7000000000000001,1.79,1.05,1.5
Saudi Arabia,2020-03-31,1.1300000000000001,0.59,1.68,0.9400000000000001,1.3900000000000001
Saudi Arabia,2020-04-01,1.3,0.77,1.86,1.11,1.56
Saudi Arabia,2020-04-02,1.3800000000000001,0.86,1.93,1.18,1.62
Saudi Arabia,2020-04-03,1.3800000000000001,0.87,1.92,1.18,1.61
Saudi Arabia,2020-04-04,1.5,1.01,2.04,1.3,1.72
Saudi Arabia,2020-04-05,1.37,0.87,1.87,1.16,1.57
Saudi Arabia,2020-04-06,1.52,1.02,2.0,1.36,1.77
Saudi Arabia,2020-04-07,1.61,1.16,2.12,1.41,1.8
Saudi Arabia,2020-04-08,1.67,1.22,2.14,1.51,1.8900000000000001
Saudi Arabia,2020-04-09,1.83,1.41,2.3000000000000003,1.69,2.06
Saudi Arabia,2020-04-10,1.78,1.37,2.22,1.6300000000000001,1.98
Saudi Arabia,2020-04-11,1.76,1.37,2.19,1.6300000000000001,1.97
Saudi Arabia,2020-04-12,1.76,1.3800000000000001,2.17,1.6400000000000001,1.97
Saudi Arabia,2020-04-13,1.67,1.31,2.08,1.55,1.87
Saudi Arabia,2020-04-14,1.73,1.3800000000000001,2.12,1.62,1.93
Saudi Arabia,2020-04-15,1.56,1.22,1.94,1.45,1.75
Saudi Arabia,2020-04-16,1.47,1.1300000000000001,1.84,1.34,1.6300000000000001
Saudi Arabia,2020-04-17,1.41,1.08,1.78,1.3,1.59
Saudi Arabia,2020-04-18,1.37,1.04,1.73,1.23,1.51
United Arab Emirates,2020-03-20,3.0,1.01,6.99,2.04,4.45
United Arab Emirates,2020-03-21,2.8000000000000003,1.2,4.87,2.15,3.7
United Arab Emirates,2020-03-22,3.16,1.7,4.8100000000000005,2.61,3.91
United Arab Emirates,2020-03-23,2.72,1.49,4.01,2.2800000000000002,3.33
United Arab Emirates,2020-03-24,2.72,1.67,3.88,2.32,3.23
United Arab Emirates,2020-03-25,2.58,1.6300000000000001,3.58,2.19,2.99
United Arab Emirates,2020-03-26,2.31,1.46,3.23,2.0,2.73
United Arab Emirates,2020-03-27,2.33,1.54,3.18,2.0,2.67
United Arab Emirates,2020-03-28,2.16,1.43,2.96,1.9000000000000001,2.5300000000000002
United Arab Emirates,2020-03-29,1.86,1.1300000000000001,2.58,1.61,2.21
United Arab Emirates,2020-03-30,2.16,1.49,2.88,1.9000000000000001,2.47
United Arab Emirates,2020-03-31,1.96,1.32,2.64,1.7,2.24
United Arab Emirates,2020-04-01,2.48,1.8800000000000001,3.12,2.2600000000000002,2.77
United Arab Emirates,2020-04-02,2.5500000000000003,2.0100000000000002,3.15,2.36,2.83
United Arab Emirates,2020-04-03,2.52,2.0300000000000002,3.08,2.33,2.7600000000000002
United Arab Emirates,2020-04-04,2.43,1.96,2.93,2.2600000000000002,2.66
United Arab Emirates,2020-04-05,2.2,1.77,2.69,2.06,2.44
United Arab Emirates,2020-04-06,2.04,1.6300000000000001,2.5100000000000002,1.8800000000000001,2.24
United Arab Emirates,2020-04-07,1.8900000000000001,1.46,2.3000000000000003,1.75,2.1
United Arab Emirates,2020-04-08,1.59,1.2,2.0300000000000002,1.45,1.79
United Arab Emirates,2020-04-09,1.57,1.17,1.98,1.45,1.79
United Arab Emirates,2020-04-10,1.36,0.97,1.77,1.22,1.55
United Arab Emirates,2020-04-11,1.35,0.97,1.77,1.22,1.55
United Arab Emirates,2020-04-12,1.35,0.98,1.77,1.23,1.56
United Arab Emirates,2020-04-13,1.34,0.9500000000000001,1.72,1.21,1.53
United Arab Emirates,2020-04-14,1.1,0.73,1.5,0.98,1.3
United Arab Emirates,2020-04-15,1.02,0.66,1.44,0.89,1.21
United Arab Emirates,2020-04-16,0.92,0.54,1.32,0.77,1.09
United Arab Emirates,2020-04-17,0.8,0.42,1.21,0.68,1.01
United Arab Emirates,2020-04-18,0.7000000000000001,0.32,1.1300000000000001,0.54,0.87
